text,intent
cách nấu phở bò,tìm_kiếm_thông_tin
mua iphone 15 giá rẻ,mua_hàng
mua cái máy tính bảng này,mua_hàng
tôi muốn mua chiếc áo sơ mi này,mua_hàng
đặt mua ngay sản phẩm này,mua_hàng
lấy cho tôi hai chai sữa tắm,mua_hàng
bán cho tôi một con chuột máy tính,mua_hàng
tôi chốt đơn cái điện thoại này nhé,mua_hàng
mua một vé xem phim,mua_hàng
đặt hàng giúp tôi cái đầm này,mua_hàng
tôi quyết định mua cái máy ảnh này,mua_hàng
mua ngay đôi dép này cho tôi,mua_hàng
đặt vé máy bay đi đà nẵng,đặt_vé
đặt vé máy bay đi đà nẵng cho tôi,đặt_vé
mua vé chuyến bay VN123,đặt_vé
tôi muốn đặt vé khứ hồi hà nội sài gòn,đặt_vé
lấy cho tôi 1 vé đi phú quốc vào cuối tuần,đặt_vé
đặt vé chuyến bay lúc 8 giờ sáng mai,đặt_vé
mua vé đi nha trang cho 2 người,đặt_vé
đặt vé hạng phổ thông đi singapore,đặt_vé
tôi chốt vé đi đà lạt này nhé,đặt_vé
mua vé máy bay của vietjet cho chuyến sớm nhất,đặt_vé
đặt ngay vé này cho tôi,đặt_vé
tôi muốn mua vé cho cả gia đình,đặt_vé
đặt vé máy bay đi công tác,đặt_vé
mua vé máy bay trả sau được không,đặt_vé
giữ chỗ cho tôi trên chuyến bay này,đặt_vé
đặt cho tôi 2 vé người lớn và 1 vé trẻ em,đặt_vé
xác nhận đặt vé chuyến bay này,đặt_vé
mua vé cho chuyến bay VJ567,đặt_vé
đặt vé đi huế vào tháng sau,đặt_vé
tôi muốn thanh toán cho vé máy bay này,đặt_vé
đặt vé đi tokyo của hãng hàng không ana,đặt_vé
mua vé máy bay đi hải phòng,đặt_vé
đặt vé khứ hồi cho chuyến đi 5 ngày,đặt_vé
tôi quyết định lấy vé này,đặt_vé
mua vé rẻ nhất đi cần thơ,đặt_vé
đặt vé máy bay cho tôi,đặt_vé
tìm chuyến bay từ sài gòn ra hà nội vào ngày mai,tìm_chuyến_bay
có chuyến bay nào từ đà nẵng đi phú quốc trong tuần tới không,tìm_chuyến_bay
xem các chuyến bay của vietnam airlines đến singapore,tìm_chuyến_bay
tìm chuyến bay giá rẻ đi nha trang cho 2 người,tìm_chuyến_bay
các chuyến bay từ hà nội vào cần thơ khởi hành buổi sáng,tìm_chuyến_bay
cho tôi xem lịch bay từ hải phòng đi sài gòn,tìm_chuyến_bay
tìm chuyến bay một chiều đến bangkok,tìm_chuyến_bay
kiếm cho tôi chuyến bay khứ hồi đi đà lạt vào dịp lễ,tìm_chuyến_bay
hiển thị tất cả các chuyến bay đi hàn quốc,tìm_chuyến_bay
chuyến bay sớm nhất từ sài gòn ra vinh là mấy giờ,tìm_chuyến_bay
tìm chuyến bay hạng thương gia từ hà nội đi tokyo,tìm_chuyến_bay
có chuyến bay thẳng từ đà nẵng đi siem reap không,tìm_chuyến_bay
tìm các chuyến bay của vietjet air,tìm_chuyến_bay
xem các chuyến bay có thể đi trong hôm nay,tìm_chuyến_bay
tìm giúp tôi chuyến bay về quê ăn tết,tìm_chuyến_bay
chuyến bay từ thanh hóa vào sài gòn giá bao nhiêu,tìm_chuyến_bay
tìm chuyến bay cho 3 người lớn và 1 trẻ em,tìm_chuyến_bay
các chuyến bay đi quy nhơn còn vé không,tìm_chuyến_bay
tôi muốn tìm một chuyến bay đêm,tìm_chuyến_bay
xem giúp tôi các chuyến bay đến châu âu,tìm_chuyến_bay
tìm chuyến bay của bamboo airways từ hà nội đi phú quốc,tìm_chuyến_bay
có chuyến bay nào đi côn đảo không,tìm_chuyến_bay
tìm vé máy bay đi gấp trong tối nay,tìm_chuyến_bay
cho xem các chuyến bay khởi hành sau 8 giờ tối,tìm_chuyến_bay
tìm chuyến bay từ vinh ra hà nội,tìm_chuyến_bay
lịch bay từ sài gòn đi rạch giá,tìm_chuyến_bay
tìm các chuyến bay nội địa,tìm_chuyến_bay
có chuyến nào bay thẳng từ hà nội đi mỹ không,tìm_chuyến_bay
tìm chuyến bay cuối cùng trong ngày từ đà nẵng về sài gòn,tìm_chuyến_bay
xem các chuyến bay có giá dưới 2 triệu,tìm_chuyến_bay
chuyến bay VN245 mấy giờ cất cánh,tra_cứu_thông_tin_chuyến_bay
tình trạng chuyến bay VJ150 từ hà nội đi sài gòn,tra_cứu_thông_tin_chuyến_bay
chuyến bay đến đà nẵng lúc 10h sáng có bị trễ không,tra_cứu_thông_tin_chuyến_bay
cho tôi biết cửa ra máy bay của chuyến QH202,tra_cứu_thông_tin_chuyến_bay
bay từ sài gòn ra hà nội mất bao lâu,tra_cứu_thông_tin_chuyến_bay
quy định hành lý xách tay của vietnam airlines,tra_cứu_thông_tin_chuyến_bay
thông tin chi tiết về chuyến bay số hiệu VN1558,tra_cứu_thông_tin_chuyến_bay
chuyến bay của tôi có được phục vụ bữa ăn không,tra_cứu_thông_tin_chuyến_bay
máy bay của chuyến này là loại gì,tra_cứu_thông_tin_chuyến_bay
chuyến bay đến phú quốc đã hạ cánh chưa,tra_cứu_thông_tin_chuyến_bay
có cần làm thủ tục trực tuyến trước không,tra_cứu_thông_tin_chuyến_bay
xem thông tin chuyến bay từ sài gòn đi vinh,tra_cứu_thông_tin_chuyến_bay
chuyến bay sớm nhất đến hà nội là của hãng nào,tra_cứu_thông_tin_chuyến_bay
cho tôi biết thời gian bay dự kiến,tra_cứu_thông_tin_chuyến_bay
chuyến bay có bị ảnh hưởng bởi thời tiết không,tra_cứu_thông_tin_chuyến_bay
tôi có được mang theo pin dự phòng không,tra_cứu_thông_tin_chuyến_bay
làm thủ tục cho chuyến bay ở quầy nào,tra_cứu_thông_tin_chuyến_bay
chuyến bay từ tokyo về hà nội có quá cảnh không,tra_cứu_thông_tin_chuyến_bay
xem lại thông tin chuyến bay của tôi,tra_cứu_thông_tin_chuyến_bay
chuyến bay đã khởi hành đúng giờ không,tra_cứu_thông_tin_chuyến_bay
kiểm tra vé máy bay của tôi,tra_cứu_thông_tin_vé
xem lại vé đã đặt với mã đặt chỗ ABCXYZ,tra_cứu_thông_tin_vé
thông tin vé của tôi thế nào rồi,tra_cứu_thông_tin_vé
tôi đã đặt vé thành công chưa,tra_cứu_thông_tin_vé
gửi lại cho tôi xác nhận đặt vé vào email,tra_cứu_thông_tin_vé
cho tôi xem chi tiết vé đã mua,tra_cứu_thông_tin_vé
kiểm tra lại thông tin hành khách trên vé,tra_cứu_thông_tin_vé
vé của tôi là hạng gì,tra_cứu_thông_tin_vé
xem lại vé khứ hồi tôi đã đặt,tra_cứu_thông_tin_vé
tôi có mua thêm hành lý ký gửi không,tra_cứu_thông_tin_vé
tôi muốn hủy vé máy bay đi đà lạt,hủy_vé
hủy vé có mã đặt chỗ HNT456,hủy_vé
làm thế nào để hoàn vé máy bay,hủy_vé
tôi muốn hủy vé do thay đổi kế hoạch,hủy_vé
chính sách hủy vé của hãng như thế nào,hủy_vé
hủy chuyến bay đến nha trang giúp tôi,hủy_vé
tôi không đi nữa hủy vé cho tôi,hủy_vé
thủ tục hủy vé online,hủy_vé
hủy vé có được hoàn tiền không,hủy_vé
vui lòng hủy vé máy bay của tôi,hủy_vé
thời tiết hôm nay thế nào,hỏi_đáp
tôi muốn đổi ngày bay,thay_đổi_thông_tin_vé
có thể thay đổi tên hành khách trên vé không,thay_đổi_thông_tin_vé
tôi muốn đổi giờ bay sớm hơn,thay_đổi_thông_tin_vé
thủ tục đổi vé như thế nào,thay_đổi_thông_tin_vé
